726 images
  [GRAPH] 14 branches traced, 143/143 nodes assigned, 0 orphans, 140 edges, 5 components
  [GRAPH] 20 branches traced, 89/94 nodes assigned, 5 orphans, 80 edges, 15 components
  [GRAPH] 17 branches traced, 132/132 nodes assigned, 0 orphans, 130 edges, 5 components
  [GRAPH] 2 branches traced, 10/11 nodes assigned, 1 orphans, 9 edges, 2 components
  [GRAPH] 36 branches traced, 142/142 nodes assigned, 0 orphans, 149 edges, 4 components
  [GRAPH] 21 branches traced, 135/135 nodes assigned, 0 orphans, 135 edges, 4 components
  [GRAPH] 4 branches traced, 108/108 nodes assigned, 0 orphans, 104 edges, 4 components
  [GRAPH] 9 branches traced, 112/112 nodes assigned, 0 orphans, 109 edges, 4 components
  [GRAPH] 9 branches traced, 118/118 nodes assigned, 0 orphans, 115 edges, 4 components
  [GRAPH] 8 branches traced, 82/82 nodes assigned, 0 orphans, 80 edges, 3 components
  [GRAPH] 8 branches traced, 82/82 nodes assigned, 0 orphans, 80 edges, 3 components
  [GRAPH] 875 branches traced, 507/507 nodes assigned, 0 orphans, 878 edges, 6 components
  [GRAPH] 1284 branches traced, 770/770 nodes assigned, 0 orphans, 1300 edges, 22 components
  [GRAPH] 1400 branches traced, 895/895 nodes assigned, 0 orphans, 1411 edges, 30 components
  [GRAPH] 4 branches traced, 123/123 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 4 branches traced, 108/108 nodes assigned, 0 orphans, 104 edges, 4 components
  [GRAPH] 4 branches traced, 100/100 nodes assigned, 0 orphans, 96 edges, 4 components
  [GRAPH] 4 branches traced, 101/101 nodes assigned, 0 orphans, 97 edges, 4 components
  [GRAPH] 4 branches traced, 108/108 nodes assigned, 0 orphans, 104 edges, 4 components
  [GRAPH] 9 branches traced, 98/99 nodes assigned, 1 orphans, 90 edges, 9 components
  [GRAPH] 4 branches traced, 94/94 nodes assigned, 0 orphans, 90 edges, 4 components
  [GRAPH] 1 branches traced, 30/32 nodes assigned, 2 orphans, 31 edges, 1 components
  [GRAPH] 4 branches traced, 104/104 nodes assigned, 0 orphans, 100 edges, 4 components
  [GRAPH] 2 branches traced, 26/26 nodes assigned, 0 orphans, 24 edges, 2 components
  [GRAPH] 4 branches traced, 85/85 nodes assigned, 0 orphans, 81 edges, 4 components
  [GRAPH] 1 branches traced, 4/4 nodes assigned, 0 orphans, 3 edges, 1 components
  [GRAPH] 3 branches traced, 81/81 nodes assigned, 0 orphans, 78 edges, 3 components
  [GRAPH] 3 branches traced, 87/87 nodes assigned, 0 orphans, 84 edges, 3 components
  [GRAPH] 3 branches traced, 83/83 nodes assigned, 0 orphans, 80 edges, 3 components
  [GRAPH] 3 branches traced, 83/83 nodes assigned, 0 orphans, 80 edges, 3 components
  [GRAPH] 2 branches traced, 55/55 nodes assigned, 0 orphans, 53 edges, 2 components
  [GRAPH] 523 branches traced, 324/324 nodes assigned, 0 orphans, 536 edges, 6 components
  [GRAPH] 956 branches traced, 568/568 nodes assigned, 0 orphans, 965 edges, 10 components
  [GRAPH] 1203 branches traced, 713/713 nodes assigned, 0 orphans, 1213 edges, 20 components
  [GRAPH] 8 branches traced, 168/168 nodes assigned, 0 orphans, 162 edges, 6 components
  [GRAPH] 8 branches traced, 126/126 nodes assigned, 0 orphans, 120 edges, 6 components
  [GRAPH] 8 branches traced, 123/123 nodes assigned, 0 orphans, 117 edges, 6 components
  [GRAPH] 18 branches traced, 130/130 nodes assigned, 0 orphans, 126 edges, 6 components
