model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
clean_base,7351,SEG,5,0.8475247524752475,0.9039070749736009,0.9314472252448314,,5,4,161.12489168102786,180.0243866176395,5.594187209022345,5.153904965722636,5,7,0,2,0,1,0.0,0.888888888888889
clean_base,7351,GRAPH7,0,0.8475247524752475,0.9039070749736009,0.9314472252448314,135.0,5,4,165.0,182.0243866176395,5.667216885371542,5.135732620835719,7,8,1,2,0,1,0.6666666666666666,0.7999999999999999
clean_base,7351,GRAPH7,5,0.8475247524752475,0.9039070749736009,0.9314472252448314,135.0,5,4,161.25,180.0243866176395,5.612966115263903,5.153904965722636,5,7,0,2,0,1,0.0,0.888888888888889
clean_base,7970,SEG,0,0.8379549393414212,0.8727436823104693,0.9545903257650543,,5,5,172.6101730552664,195.4386001800126,6.067562080704132,5.182559806001801,7,11,1,3,0,0,0.0,0.6666666666666667
clean_base,7970,SEG,5,0.8379549393414212,0.8727436823104693,0.9545903257650543,,5,5,172.6101730552664,182.3675323681471,6.067562080704132,5.066215075965421,7,5,1,0,0,0,0.0,0.6666666666666666
clean_base,7970,GRAPH7,0,0.8379549393414212,0.8727436823104693,0.9545903257650543,144.0,5,5,172.75,195.4386001800126,5.993873246078304,5.182559806001801,7,11,1,3,0,0,0.0,0.6666666666666667
clean_base,7970,GRAPH7,5,0.8379549393414212,0.8727436823104693,0.9545903257650543,144.0,5,5,172.75,182.3675323681471,5.993873246078304,5.066215075965421,7,5,1,0,0,0,0.0,0.6666666666666666
clean_base,7471,SEG,0,0.8355941399891481,0.8855664174813112,0.9367396593673966,,4,5,310.66399692442883,312.3502884254441,5.762972124022283,5.44794681644254,12,15,4,5,0,0,0.6666666666666665,0.7407407407407408
clean_base,7471,SEG,5,0.8355941399891481,0.8855664174813112,0.9367396593673966,,4,5,305.8355697996826,297.86500705120545,5.706316765520982,5.420983871490147,10,9,3,2,0,0,0.8,0.7826086956521738
clean_base,7471,GRAPH7,0,0.8355941399891481,0.8855664174813112,0.9367396593673966,210.0,4,5,310.5,312.3502884254441,5.733869529022855,5.44794681644254,12,15,4,5,0,0,0.6666666666666665,0.7407407407407408
