stem,segmenter,iou_cpu_gpu,pixels_differ,segGPU_t100_n_components,segGPU_t100_total_length_px,segGPU_t100_mean_width_px,segGPU_t100_n_branches,segGPU_t100_n_junctions,segGPU_t100_cycle_rank,segGPU_degree5_n_components,segGPU_degree5_total_length_px,segGPU_degree5_mean_width_px,segGPU_degree5_n_branches,segGPU_degree5_n_junctions,segGPU_degree5_cycle_rank
7436,Learned,1.0,0,4,222.53910524340097,6.798896838491823,10,3,0,4,222.53910524340097,6.798896838491823,10,3,0
7437,Learned,1.0,0,5,218.27922061357856,5.258097669845658,9,2,0,5,218.27922061357856,5.258097669845658,9,2,0
7438,Learned,1.0,0,6,299.1787155501902,6.578620589395903,10,2,0,6,294.35028842544403,6.535948341156348,8,1,0
7439,Learned,1.0,0,4,252.8944443027283,4.668468874321774,10,3,0,4,245.48023074035518,4.668672787976674,6,1,0
7440,Learned,1.0,0,5,285.17871555019013,5.286927813337163,7,1,0,5,285.17871555019013,5.286927813337163,7,1,0
7441,Learned,1.0,0,5,238.86500705120545,4.791877258818598,11,3,0,5,235.45079348883235,4.790685952246193,9,2,0
7442,Learned,1.0,0,4,216.3086578651014,6.688980302253639,10,3,0,4,209.48023074035518,6.685441016514086,6,1,0
7443,Learned,1.0,0,5,261.27922061357856,5.292394975620485,13,4,0,5,250.45079348883237,5.256633509298857,7,1,0
7444,Learned,1.0,0,5,251.49242404917493,6.221098686792049,7,1,0,5,251.49242404917493,6.221098686792049,7,1,0
7445,Learned,1.0,0,6,289.1076477383248,5.952222499532929,9,2,1,6,289.1076477383248,5.952222499532929,9,2,1
7446,Learned,1.0,0,5,246.7645019878171,4.91898143153071,12,4,1,5,243.93607486307093,4.9200314049494835,10,3,1
7447,Learned,1.0,0,4,238.65180361560903,5.230941441355975,9,3,1,4,238.65180361560903,5.230941441355975,9,3,1
7448,Learned,1.0,0,4,248.45079348883235,4.887062681189798,8,2,0,4,245.45079348883235,4.867241296443698,6,1,0
7449,Learned,1.0,0,5,258.83556979968256,5.299706813906523,7,1,0,5,258.83556979968256,5.299706813906523,7,1,0
7450,Learned,1.0,0,4,189.82337649086284,6.210141466326395,8,2,0,4,184.99494936611663,6.142122780132792,6,1,0
7451,Learned,1.0,0,5,241.79393923933995,4.980257876292328,7,1,0,5,241.79393923933995,4.980257876292328,7,1,0
7452,Learned,1.0,0,4,304.35028842544403,5.5679947934798255,12,4,1,4,301.35028842544403,5.533527105039039,11,4,1
7453,Learned,0.999195494770716,1,4,181.0954544295049,6.638345792382032,6,1,0,4,181.0954544295049,6.638345792382032,6,1,0
7455,Learned,1.0,0,6,339.70562748477136,5.459926817714199,11,2,0,6,335.2914139223982,5.438764883157962,9,1,0
7456,Learned,1.0,0,4,160.5391052434009,5.791441440701917,4,0,0,4,160.5391052434009,5.791441440701917,4,0,0
7457,Learned,1.0,0,4,201.65180361560903,6.4495634947912395,8,2,0,4,190.4091629284897,6.410605807533884,4,0,0
7458,Learned,1.0,0,4,308.5218613006978,4.716975620895706,13,5,2,4,304.1076477383247,4.690829534017662,12,5,2
7459,Learned,1.0,0,4,248.00714267493635,4.857741003895697,6,1,0,4,248.00714267493635,4.857741003895697,6,1,0
7460,Frangi,1.0,0,2,85.01219330881977,7.035834455455204,8,3,2,2,85.01219330881977,7.035834455455204,8,3,2
7461,Learned,1.0,0,4,309.6345596729059,6.291291836022384,6,1,0,4,309.6345596729059,6.291291836022384,6,1,0
7462,Learned,1.0,0,5,322.7056274847713,5.476811303369816,9,2,0,5,320.2914139223983,5.4773036586767105,7,1,0
7463,Learned,1.0,0,4,239.58073580374355,5.764023309564838,12,4,0,4,229.33809511662423,5.728208431741106,6,1,0
7464,Learned,1.0,0,5,285.2081528017131,5.472062166420476,14,5,1,5,285.2081528017131,5.472062166420476,14,5,1
7465,Learned,1.0,0,4,216.92388155425118,6.157183071190072,8,2,1,4,214.92388155425115,6.122789763556196,6,1,1
7466,Learned,1.0,0,4,327.73506473629425,7.680743614674436,17,7,1,4,322.492424049175,7.673412359255352,13,5,1
7467,Learned,1.0,0,5,309.8772003600252,5.330072396041719,13,4,1,5,307.4629867976521,5.339958158364928,12,4,1
7468,Learned,1.0,0,6,279.24978336205567,5.858581093780188,12,3,0,6,274.83556979968256,5.840367220299087,10,2,0
7469,Learned,1.0,0,4,211.48023074035524,6.752112791053279,8,2,0,4,211.48023074035524,6.752112791053279,8,2,0
7470,Learned,1.0,0,4,201.6101730552664,6.310904572932446,4,0,0,4,201.6101730552664,6.310904572932446,4,0,0
7471,Learned,1.0,0,4,320.00714267493646,5.663398683141861,12,4,0,4,320.00714267493646,5.663398683141861,12,4,0
7472,Learned,1.0,0,4,275.1076477383247,5.4862905335228955,10,3,0,4,270.86500705120545,5.514386240509842,8,2,0
7473,Learned,1.0,0,5,241.69343417595167,7.428409023603225,11,3,0,5,235.86500705120545,7.473185210388047,9,2,0
7474,Learned,1.0,0,5,201.03657992645924,5.128187952134999,5,0,0,5,201.03657992645924,5.128187952134999,5,0,0
7475,Learned,1.0,0,4,209.4091629284897,5.93657545046867,6,1,0,4,203.9949493661166,5.937168348609999,4,0,0
7476,Learned,0.9992486851990984,1,4,188.68124086713186,6.881154788382173,10,3,0,4,180.0243866176395,6.861864089076203,6,1,0
7477,Learned,0.9993390614672836,1,4,247.86500705120545,6.234579205712551,10,3,0,4,247.86500705120545,6.234579205712551,10,3,0
7478,Learned,1.0,0,4,233.62236636408616,5.64185231325507,12,4,0,4,233.62236636408616,5.64185231325507,12,4,0
7479,Learned,1.0,0,4,161.6101730552664,5.7743979846357245,6,1,0,4,161.6101730552664,5.7743979846357245,6,1,0
7480,Learned,1.0,0,4,263.7645019878171,6.289798724345471,12,4,0,4,259.35028842544403,6.279571694152125,10,3,0
7481,Learned,1.0,0,4,247.2792206135785,5.527569719127471,10,3,1,4,247.2792206135785,5.527569719127471,10,3,1
7482,Learned,1.0,0,5,222.55129855222071,5.760750035158816,9,2,0,5,218.1370849898476,5.746649428668464,5,0,0
7483,Learned,1.0,0,5,187.2670273047588,6.925643746140073,7,1,0,5,179.4386001800126,6.958099188870485,5,0,0
7484,Learned,0.9993887530562348,1,4,205.8233764908628,7.502715752035989,8,2,0,4,197.8233764908628,7.4069901359346515,4,0,0
7485,Learned,1.0,0,5,325.0782104868018,5.728277493253726,12,3,0,5,315.2497833620556,5.732801379322203,5,0,0
7486,Learned,1.0,0,4,209.16652224137044,6.409550546455857,11,4,1,4,204.75230867899734,6.40322547752125,9,3,1
7487,Learned,1.0,0,4,286.4629867976521,6.432239414058965,8,2,0,4,281.6345596729058,6.4359297283856565,6,1,0
7488,Learned,0.9993865030674847,1,4,306.76450198781714,5.635144736165892,14,5,0,4,306.76450198781714,5.635144736165892,14,5,0
7489,Learned,1.0,0,5,251.03657992645927,6.668794692704075,11,3,0,5,243.03657992645927,6.6689498337686555,7,1,0
7490,Learned,1.0,0,4,180.92388155425118,6.584612863799696,8,2,0,4,180.92388155425118,6.584612863799696,8,2,0
7491,Learned,1.0,0,5,286.0782104868018,6.158177611033226,9,2,0,5,282.24978336205567,6.159579126005544,7,1,0
7492,Learned,1.0,0,5,239.03657992645927,5.4158648392752795,11,3,0,5,239.03657992645927,5.4158648392752795,11,3,0
7493,Learned,1.0,0,4,176.9949493661166,5.200406739219217,4,0,0,4,176.9949493661166,5.200406739219217,4,0,0
7494,Learned,1.0,0,4,259.45079348883235,6.137933096629347,10,3,0,4,255.03657992645924,6.117643207249811,8,2,0
7495,Learned,0.9990732159406858,1,4,171.0538238691624,6.164533077935729,8,2,0,4,171.0538238691624,6.164533077935729,8,2,0
7496,Learned,1.0,0,5,231.79393923933998,6.136374916878017,12,4,1,5,226.9655121145938,6.096292186491449,10,3,1
