stem,segmenter,n_misaligned,payload_bytes,jpeg_bytes,jpeg_quality,raw_bytes,png_bytes,arm,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,time_s
7265,Learned,0,2160,2078.0,25.0,65536,45603,PRE,5,233.8944443027283,5.721018993505284,5,0,0,0,10,0,
7265,Learned,0,2160,2078.0,25.0,65536,45603,GRAPH_TAGGED,5,228.8601750176413,5.705277835726004,5,0,0,0,10,0,
7265,Learned,0,2160,2078.0,25.0,65536,45603,SEG,5,233.8944443027283,5.76798121242377,5,0,0,0,10,0,
7266,Learned,0,2445,2391.0,28.0,65536,45309,REF,5,256.42135623730945,6.336746191086153,11,3,0,3,13,0,0.004345515975728631
7266,Learned,0,2445,2391.0,28.0,65536,45309,GRAPH,5,230.6123926026625,6.313345855386153,5,0,0,0,10,0,0.004753060056827962
7266,Learned,0,2445,2391.0,28.0,65536,45309,JPEG,5,234.69343417595164,6.452389292454379,5,0,0,0,10,0,0.27144746005069464
7266,Learned,0,2445,2391.0,28.0,65536,45309,PRE,5,235.10764773832472,6.4148776479511405,5,0,0,0,10,0,
7266,Learned,0,2445,2391.0,28.0,65536,45309,GRAPH_TAGGED,5,230.6123926026625,6.313345855386153,5,0,0,0,10,0,
7266,Learned,0,2445,2391.0,28.0,65536,45309,SEG,5,238.52186130069776,6.440263192221871,7,1,0,1,11,0,
7267,Learned,0,2281,2227.0,28.0,65536,44738,REF,4,310.7645019878171,5.853405899160278,20,9,2,9,13,0,0.004754712921567261
7267,Learned,0,2281,2227.0,28.0,65536,44738,GRAPH,4,247.78785023915185,6.175198568963214,11,4,1,17,10,0,0.005106013035401702
7267,Learned,0,2281,2227.0,28.0,65536,44738,JPEG,4,323.35028842544403,6.3717500779346485,24,11,2,11,15,0,0.2662282030796632
7267,Learned,0,2281,2227.0,28.0,65536,44738,PRE,4,254.72287142747447,6.200436027878139,11,4,1,17,10,0,
