stem,ref_width,dt_none,profile_none,dt_dilate1,profile_dilate1,dt_dilate2,profile_dilate2,dt_erode1,profile_erode1
7704,5.273834215835147,5.4191601087626475,4.7997870190401635,7.146103073844064,4.471056557462481,9.162830467457303,5.154666366146579,3.7685896168416337,5.47501710553161
7705,5.717914685547162,5.8293243021598915,7.4591697273575495,7.602030288377731,7.840013220078538,9.337424049601195,7.085376089730664,4.256398173835293,7.22166871297506
7707,5.580435156320131,5.583411854217481,6.055959226624385,7.428611909842208,6.054565437296385,9.114294108620419,6.238184923607682,3.9721737371071244,6.3156350354293975
7708,4.890354094375373,4.78949525576259,4.906818613646405,6.630367897612632,5.220609360915189,8.414689098914847,5.070765552021198,3.1221824324258236,4.988246164181183
7715,5.560422912537622,5.694901789729297,5.981370669266668,7.32425770938557,6.617102573128159,9.55196663746231,7.25764164169395,4.021620341256188,6.032124212407822
7717,5.942706698986518,5.834628638696533,7.122095799970528,7.42293569563071,7.057846846262968,9.493955809600607,7.115854676363271,4.206146334327041,7.630478615220155
7721,4.9522068583656,4.9826977871689975,5.961021552272591,6.779683879897679,5.49747626043795,8.503322041266296,5.362714445334628,3.4121593912937014,5.354764201449208
7725,5.823726500274162,5.687445072037044,6.537824513023121,7.544122952012018,7.213709993357297,9.246792355273277,6.694161770860503,4.077517990363382,6.824882952164793
7728,6.166387803010994,6.471473408215553,7.0318748173334455,8.041685510105625,6.897799579415573,10.351295231463448,7.747431965378331,4.771752233255514,7.104574696299905
7730,6.318967705376422,6.41586011713133,6.268720998073995,8.155421533742423,7.595550709414665,9.87000135044253,9.676794335653698,4.799806535681693,5.935698942633857
7733,6.954527205207515,7.151095990154094,8.168321849414184,9.280466129311588,8.512534803169405,11.225501903315653,8.903358856946756,5.589411361836721,8.993975675538154
7741,5.832072883380747,6.52780037416215,5.659663327068343,8.409534468788484,6.792208805321188,8.8213608491589,5.688721139530303,4.921145251977294,5.724573531893874
7743,7.107323226133427,7.007464397866157,9.111130776462876,9.093130105544288,6.868414829971952,10.888815089321527,7.063472234661093,5.302554514199705,7.963454178364811
7746,5.52221836816692,5.475556914220095,6.795170012184436,7.259764919937192,7.9264481644618785,8.640243502605703,7.485392572729306,3.8794922241480827,6.546250213417694
7755,5.18453881695879,5.25257800045742,5.589940840719451,7.031650719272595,6.850194813001462,8.735888711556626,5.562567628527076,3.60610640430427,5.2091324181109515
7756,6.247004705990953,6.529397001913307,6.645056270114358,8.755809875388891,6.672246713449376,10.702490467655478,7.1911769432682355,4.88638208026646,5.97678262149952
7758,6.681106616015476,6.861070090356478,7.342378667540885,8.635475704926794,8.504025219886778,10.591069753974269,8.933602674626666,5.228744625490551,7.714364288570921
7773,4.871148569085335,5.216001502386831,4.980549554499299,7.1862796034246506,5.844774152472532,8.881675916993938,5.278763855722867,3.5416559462403563,5.348619656683882
7775,5.364740145039099,5.976142442953759,5.616221935237104,8.181406319162386,5.969496605060479,9.72544961259892,5.694989646965307,4.319426669034236,5.615068429465552
7781,6.903787104706793,7.089678234978997,9.564287652606845,8.864769091301598,8.70881146049808,11.333600539585927,10.123262657431905,5.530915575843573,8.672737048313781
7784,5.7155888973648805,5.6514529404592615,7.713220360354536,7.472190340738924,8.661545841793648,9.27275341242491,8.133655228715954,3.9917495632538214,6.374780473508462
7794,5.741684697812638,5.9997180986824254,5.981154369789224,7.853878574624521,6.138502982208892,9.61711835301794,6.337112912066466,4.360570771883537,6.272939962177969
