stem,junction_def,L,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles
7499,degree,0,4,209.06601717798208,5.423860296707117,8,2,0,2,10,0
7499,degree,2,4,207.65180361560897,5.431949761529613,6,1,0,2,10,0
7499,degree,5,4,200.4091629284897,5.513670926581324,4,0,0,2,10,0
7499,degree,10,4,200.4091629284897,5.513670926581324,4,0,0,2,10,0
7505,t10,0,6,288.04877323527904,5.308924376430009,20,7,0,7,19,0
7505,degree,0,6,288.04877323527904,5.308924376430009,20,7,0,7,19,0
7505,degree,2,6,284.048773235279,5.349687951013203,12,3,0,7,19,0
7505,degree,5,6,279.6345596729059,5.365729154789246,10,2,0,7,19,0
7505,degree,10,6,270.56349186104046,5.399901101036197,8,1,0,7,19,0
7511,t10,0,4,142.61017305526644,5.706038751692357,8,2,0,2,10,0
7511,degree,0,4,142.61017305526644,5.706038751692357,8,2,0,2,10,0
7511,degree,2,4,142.61017305526644,5.706038751692357,8,2,0,2,10,0
7511,degree,5,4,129.95331880577405,5.7441451049417465,4,0,0,2,10,0
7511,degree,10,4,129.95331880577405,5.7441451049417465,4,0,0,2,10,0
7517,t10,0,4,261.8355697996826,6.869614972276735,17,7,2,8,12,0
7517,degree,0,4,261.8355697996826,6.869614972276735,17,7,2,8,12,0
7517,degree,2,4,260.42135623730945,6.87888663710094,15,6,2,8,12,0
7517,degree,5,4,247.76450198781708,6.913208022143014,11,4,2,8,12,0
7517,degree,10,4,239.93607486307093,6.90097314664181,9,3,2,8,12,0
7528,t10,0,5,307.66399692442883,6.817155351029918,19,7,1,8,16,0
7528,degree,0,5,307.66399692442883,6.817155351029918,19,7,1,8,16,0
7528,degree,2,5,306.2497833620557,6.826338986907357,17,6,1,8,16,0
7528,degree,5,5,292.59292911256335,6.847096856179329,9,2,1,8,16,0
7528,degree,10,5,280.5218613006978,6.883382354480543,9,2,1,8,16,0
7531,t10,0,4,279.79393923934,5.3452243316262,15,6,2,7,11,0
7531,degree,0,4,279.79393923934,5.3452243316262,15,6,2,7,11,0
7531,degree,2,4,277.7939392393399,5.366326381595198,11,4,2,7,11,0
7531,degree,5,4,277.7939392393399,5.366326381595198,11,4,2,7,11,0
7531,degree,10,4,277.7939392393399,5.366326381595198,11,4,2,7,11,0
7540,t10,0,4,207.13708498984755,5.278239346946104,16,6,0,6,14,0
7540,degree,0,4,207.13708498984755,5.278239346946104,16,6,0,6,14,0
7540,degree,2,4,204.13708498984758,5.320329089859578,10,3,0,6,14,0
7540,degree,5,4,201.13708498984758,5.2803612603028,8,2,0,6,14,0
7540,degree,10,4,188.48023074035515,5.3517054162181985,6,1,0,6,14,0
7547,t10,0,4,166.26702730475878,5.0644439162938415,4,0,0,0,8,0
7547,degree,0,4,166.26702730475878,5.0644439162938415,4,0,0,0,8,0
7547,degree,2,4,166.26702730475878,5.0644439162938415,4,0,0,0,8,0
7547,degree,5,4,166.26702730475878,5.0644439162938415,4,0,0,0,8,0
7547,degree,10,4,166.26702730475878,5.0644439162938415,4,0,0,0,8,0
7554,t10,0,5,268.4213562373095,6.571783385436606,13,4,0,4,14,0
7554,degree,0,5,268.4213562373095,6.571783385436606,13,4,0,4,14,0
7554,degree,2,5,265.5929291125633,6.598828126740774,9,2,0,4,14,0
7554,degree,5,5,263.5929291125633,6.619873360099869,9,2,0,4,14,0
7554,degree,10,5,263.5929291125633,6.619873360099869,9,2,0,4,14,0
7555,t10,0,4,260.96551211459376,7.068881883405207,14,5,0,5,13,0
7555,degree,0,4,260.96551211459376,7.068881883405207,14,5,0,5,13,0
7555,degree,2,4,260.96551211459376,7.068881883405207,14,5,0,5,13,0
7555,degree,5,4,244.7228714274745,7.243450798908452,8,2,0,5,13,0
7555,degree,10,4,244.7228714274745,7.243450798908452,8,2,0,5,13,0
7569,t10,0,4,291.4507934888324,5.790314252159875,28,12,1,13,19,0
7569,degree,0,4,291.4507934888324,5.790314252159875,28,12,1,13,19,0
7569,degree,2,4,288.0365799264593,5.818479130799835,22,9,1,13,19,0
7569,degree,5,4,273.3797256769669,5.938183616941285,17,7,1,13,19,0
7569,degree,10,4,258.89444430272835,5.958803866426766,15,6,1,13,19,0
7575,t10,0,4,268.62236636408613,5.338648467742357,13,5,2,6,10,0
7575,degree,0,4,268.62236636408613,5.338648467742357,13,5,2,6,10,0
7575,degree,2,4,268.62236636408613,5.338648467742357,13,5,2,6,10,0
7575,degree,5,4,262.79393923934,5.337057924831664,10,4,2,6,10,0
7575,degree,10,4,254.96551211459376,5.310798360382175,8,3,2,6,10,0
7577,t10,0,4,244.79393923933998,5.53821965971389,14,5,1,6,12,0
7577,degree,0,4,244.79393923933998,5.53821965971389,14,5,1,6,12,0
7577,degree,2,4,240.55129855222071,5.555740676192314,11,4,1,6,12,0
7577,degree,5,4,234.30865786510142,5.5198738206606865,9,3,1,6,12,0
7577,degree,10,4,234.30865786510142,5.5198738206606865,9,3,1,6,12,0
7583,t10,0,4,278.0365799264593,5.926971699819493,14,5,0,5,13,0
7583,degree,0,4,278.0365799264593,5.926971699819493,14,5,0,5,13,0
7583,degree,2,4,275.2081528017131,5.933055397834985,10,3,0,5,13,0
7583,degree,5,4,269.37972567696687,5.963728737201305,10,3,0,5,13,0
7583,degree,10,4,259.5512985522207,5.949681509320119,8,2,0,5,13,0
7588,t10,0,4,260.62236636408613,4.789763400681806,8,2,0,2,10,0
7588,degree,0,4,260.62236636408613,4.789763400681806,8,2,0,2,10,0
7588,degree,2,4,260.62236636408613,4.789763400681806,8,2,0,2,10,0
7588,degree,5,4,260.62236636408613,4.789763400681806,8,2,0,2,10,0
7588,degree,10,4,260.62236636408613,4.789763400681806,8,2,0,2,10,0
7592,t10,0,5,278.90663761154804,6.281551798512751,9,2,0,2,12,0
7592,degree,0,5,278.90663761154804,6.281551798512751,9,2,0,2,12,0
7592,degree,2,5,278.90663761154804,6.281551798512751,9,2,0,2,12,0
7592,degree,5,5,271.6639969244288,6.323279072812605,7,1,0,2,12,0
7592,degree,10,5,265.83556979968256,6.357015197528727,5,0,0,2,12,0
7594,t10,0,4,233.55129855222071,4.988754403326836,8,2,0,2,10,0
7594,degree,0,4,233.55129855222071,4.988754403326836,8,2,0,2,10,0
7594,degree,2,4,233.55129855222071,4.988754403326836,8,2,0,2,10,0
7594,degree,5,4,231.1370849898476,4.9919704835413725,6,1,0,2,10,0
7594,degree,10,4,224.30865786510142,5.0012783488559265,4,0,0,2,10,0
7595,t10,0,5,184.40916292848974,5.995835417356841,7,1,0,1,11,0
7595,degree,0,5,184.40916292848974,5.995835417356841,7,1,0,1,11,0
7595,degree,2,5,184.40916292848974,5.995835417356841,7,1,0,1,11,0
7595,degree,5,5,177.58073580374352,6.013102913559205,5,0,0,1,11,0
7595,degree,10,5,177.58073580374352,6.013102913559205,5,0,0,1,11,0
7601,t10,0,6,284.3797256769668,6.156818435441836,10,2,1,3,13,0
7601,degree,0,6,284.3797256769668,6.156818435441836,10,2,1,3,13,0
7601,degree,2,6,282.96551211459376,6.171415849920484,9,2,1,3,13,0
7601,degree,5,6,282.96551211459376,6.171415849920484,9,2,1,3,13,0
7601,degree,10,6,276.55129855222066,6.076980274340271,7,1,1,3,13,0
7604,t10,0,5,280.90663761154804,5.562334974873243,9,2,0,2,12,0
7604,degree,0,5,280.90663761154804,5.562334974873243,9,2,0,2,12,0
7604,degree,2,5,280.90663761154804,5.562334974873243,9,2,0,2,12,0
7604,degree,5,5,274.49242404917493,5.584507439011519,7,1,0,2,12,0
7604,degree,10,5,274.49242404917493,5.584507439011519,7,1,0,2,12,0
7610,t10,0,5,323.00714267493646,6.747040843379753,21,9,2,9,15,0
7610,degree,0,5,323.00714267493646,6.747040843379753,21,9,2,9,15,0
7610,degree,2,5,323.00714267493646,6.747040843379753,21,9,2,9,15,0
7610,degree,5,5,306.1076477383248,6.788692390604829,13,5,2,9,15,0
7610,degree,10,5,300.27922061357856,6.785821214504189,11,4,2,9,15,0
7621,t10,0,4,220.3086578651014,5.732879483757387,12,4,0,4,12,0
7621,degree,0,4,220.3086578651014,5.732879483757387,12,4,0,4,12,0
7621,degree,2,4,218.8944443027283,5.73217694762338,10,3,0,4,12,0
7621,degree,5,4,210.651803615609,5.79658047733401,8,2,0,4,12,0
7621,degree,10,4,203.651803615609,5.795024592161151,6,1,0,4,12,0
7626,t10,0,5,233.75230867899734,5.467549942306094,11,3,0,3,13,0
7626,degree,0,5,233.75230867899734,5.467549942306094,11,3,0,3,13,0
7626,degree,2,5,228.09545442950497,5.508641440887117,5,0,0,3,13,0
