dataset,id,format,bytes,decode_descr_s,lossless_mask,external,fg_px,exact_n_components,relerr_n_components,exact_total_length_px,relerr_total_length_px,exact_mean_width_px,relerr_mean_width_px,exact_n_branches,relerr_n_branches,exact_n_junctions,relerr_n_junctions,exact_cycle_rank,relerr_cycle_rank,codec,swc_dup_nodes
ORGANELLE,7263,mask_zlib,342,0.0044923690147697926,True,False,1250,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7263,mask_png,479,0.0056795841082930565,True,False,1250,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7263,mask_webp_lossless,294,0.00836990203242749,True,False,1250,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7263,mask_jbig2,258,0.009547529043629766,True,True,1250,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7263,skel_chain,274,0.0037972329882904887,False,False,1250,True,0.0,True,0.0,False,0.006779171081069124,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7263,v7_struct_e0.75,181,0.0014080730034038424,False,False,1250,True,0.0,False,0.002009479906875753,False,0.003263203032543765,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7263,v7_struct_e3,169,0.001245513092726469,False,False,1250,True,0.0,False,0.002009479906875753,False,0.002963989605908703,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7263,swc,1284,0.0009560970356687903,False,False,1250,True,0.0,False,0.04003775520512973,False,0.007157887650954139,True,0.0,True,0.0,True,0.0,,2.0
ORGANELLE,7263,swc_gz,581,0.0009712669998407364,False,False,1250,True,0.0,False,0.04003775520512973,False,0.007157887650954139,True,0.0,True,0.0,True,0.0,,2.0
ORGANELLE,7264,mask_zlib,279,0.004299816093407571,True,False,974,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7264,mask_png,395,0.0045111930230632424,True,False,974,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7264,mask_webp_lossless,240,0.005063887918367982,True,False,974,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7264,mask_jbig2,235,0.007824719068594277,True,True,974,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7264,skel_chain,239,0.0033400680404156446,False,False,974,True,0.0,True,0.0,False,0.005978345261235108,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7264,v7_struct_e0.75,149,0.0010047710966318846,False,False,974,True,0.0,False,0.0006129008468385951,False,0.0015698281650069342,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7264,v7_struct_e3,133,0.0008902440313249826,False,False,974,True,0.0,False,0.0006129008468385951,False,0.0014080044681762756,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7264,swc,1041,0.0006608039839193225,False,False,974,True,0.0,False,0.04099674645416672,False,0.0035725476281555524,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7264,swc_gz,491,0.0006842119619250298,False,False,974,True,0.0,False,0.04099674645416672,False,0.0035725476281555524,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7249,mask_zlib,420,0.005739520071074367,True,False,1834,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7249,mask_png,562,0.005905190948396921,True,False,1834,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7249,mask_webp_lossless,364,0.008249911945313215,True,False,1834,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7249,mask_jbig2,286,0.008232617052271962,True,True,1834,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7249,skel_chain,326,0.004299919004552066,False,False,1834,True,0.0,True,0.0,False,0.00640075265618036,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7249,v7_struct_e0.75,198,0.0013936288887634873,False,False,1834,True,0.0,False,0.0005764189831398173,False,0.0041327700209809505,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7249,v7_struct_e3,180,0.0011982020223513246,False,False,1834,True,0.0,False,0.0005764189831396416,False,0.0003531261354060566,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7249,swc,1469,0.0008895948994904757,False,False,1834,True,0.0,False,0.04743614762684497,False,0.0008891987864534446,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7249,swc_gz,663,0.0008874370250850916,False,False,1834,True,0.0,False,0.04743614762684497,False,0.0008891987864534446,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7250,mask_zlib,381,0.005523303989320993,True,False,1577,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7250,mask_png,510,0.005795791978016496,True,False,1577,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7250,mask_webp_lossless,324,0.006369457929395139,True,False,1577,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7250,mask_jbig2,291,0.008697245037183166,True,True,1577,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
