dataset,group,id,arm,L,bytes,structure_bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1
UIT,UIT_12,UIT_12_y256x256,JPEG,auto,12753.0,1174,16,1937.5819612930193,7.382687337881456,79,34,5,43,75,0,0.8358208955223881
UIT,UIT_12,UIT_12_y512x0,REF,5,,594,5,981.2935059634515,8.015377095740188,46,22,4,23,25,0,1.0
UIT,UIT_12,UIT_12_y512x0,REF,auto,,594,4,948.5655839020934,7.908699579777163,37,18,4,23,25,0,1.0
UIT,UIT_12,UIT_12_y512x0,SEG,5,,594,5,969.2935059634514,7.360092269957668,40,19,3,25,29,0,0.6829268292682926
UIT,UIT_12,UIT_12_y512x0,SEG,auto,,594,3,963.050865276332,7.364453628579754,38,19,3,25,29,0,0.6486486486486486
UIT,UIT_12,UIT_12_y512x0,GRAPH7,5,6658.0,594,5,969.75,7.346817235882075,40,19,3,25,29,0,0.6829268292682926
UIT,UIT_12,UIT_12_y512x0,GRAPH7,auto,6658.0,594,3,963.5,7.351661665279338,38,19,3,25,29,0,0.6486486486486486
UIT,UIT_12,UIT_12_y512x0,JPEG,5,6625.0,594,5,971.050865276332,7.315127923717674,39,18,3,25,29,0,0.6
UIT,UIT_12,UIT_12_y512x0,JPEG,auto,6625.0,594,3,963.8082245892128,7.322253972897142,37,18,3,25,29,0,0.5555555555555556
UIT,UIT_12,UIT_12_y512x256,REF,5,,978,27,1479.2072862499358,7.933553793002155,90,36,10,43,77,0,1.0
UIT,UIT_12,UIT_12_y512x256,REF,auto,,978,12,1382.2955980045044,8.071962753539331,65,31,10,43,77,0,1.0
UIT,UIT_12,UIT_12_y512x256,SEG,5,,978,18,1412.952452253997,7.871290470042526,76,33,9,44,62,0,0.5797101449275361
UIT,UIT_12,UIT_12_y512x256,SEG,auto,,978,12,1329.697618258058,7.930047730606548,62,29,9,44,62,0,0.5000000000000001
UIT,UIT_12,UIT_12_y512x256,GRAPH7,5,9557.0,978,18,1414.25,7.90237478792427,76,33,9,43,62,0,0.6086956521739131
UIT,UIT_12,UIT_12_y512x256,GRAPH7,auto,9557.0,978,12,1331.0,7.94956517413262,62,29,9,43,62,0,0.5333333333333333
UIT,UIT_12,UIT_12_y512x256,JPEG,5,9270.0,978,18,1427.9940828143394,7.804084853915827,77,34,10,43,59,0,0.6
UIT,UIT_12,UIT_12_y512x256,JPEG,auto,9270.0,978,15,1366.8813844421315,7.8236218209368795,66,30,10,43,59,0,0.5573770491803278
UIT,UIT_12,UIT_12_y256x512,REF,5,,954,27,1554.449926937055,6.659591662372226,64,20,3,25,73,0,1.0
UIT,UIT_12,UIT_12_y256x512,REF,auto,,954,24,1522.8935777509512,6.64521630704749,55,17,3,25,73,0,1.0
